,CustomerID,Age,Gender,Location,ProductCategory,PurchaseDate,PurchaseAmount,PaymentMethod,Quantity,DiscountPercentage,IsReturned,Rating,IsPromotion,CustomerSegment,ShippingDuration,Region
0,1,56,Male,Suburb,Clothing,2022-01-01,948.2111457048261,Debit Card,5,0.30039607466980955,False,2,False,New,2,South
1,2,46,Female,Rural,Home Appliances,2022-01-02,81.59331050535923,Cash,5,0.35043284862193996,False,3,False,Returning,4,East
2,3,32,Female,Suburb,Home Appliances,2022-01-03,955.5640552187843,Debit Card,8,0.14260290134020703,False,5,False,Returning,5,South
3,4,60,Female,Suburb,Electronics,2022-01-04,527.3508333433778,Cash,9,0.3153852100863103,False,4,False,New,2,West
4,5,25,Male,Suburb,Clothing,2022-01-05,306.5700211743352,Credit Card,9,0.22782477471993873,False,5,False,Returning,5,North
5,6,38,Male,Suburb,Home Appliances,2022-01-06,86.09345452340187,Credit Card,6,0.24100866988846625,False,4,False,Returning,1,East
6,7,56,Male,City,Home Appliances,2022-01-07,505.61802538971364,Cash,6,0.378888280187579,False,4,False,New,2,South
7,8,36,Male,City,Electronics,2022-01-08,796.5703890458412,Cash,9,0.14095917779862582,False,1,False,New,4,East
8,9,40,Male,Rural,Electronics,2022-01-09,710.0156124940312,Cash,4,0.15901980584725994,True,2,False,New,1,South
9,10,28,Male,City,Home Appliances,2022-01-10,59.72375134933402,Debit Card,6,0.4623208955643183,False,5,False,New,5,East
10,11,28,Male,City,Clothing,2022-01-11,82.17281701422448,Credit Card,4,0.028112147425486123,True,4,False,New,5,South
11,12,41,Male,Rural,Clothing,2022-01-12,408.84454980631074,Cash,1,0.2428171492066702,False,5,True,Returning,4,North
12,13,53,Female,Rural,Electronics,2022-01-13,302.3375891074638,Debit Card,7,0.45640040020393086,False,5,False,Returning,1,South
13,14,57,Female,Rural,Electronics,2022-01-14,240.06047982548736,Credit Card,6,0.3051815039090785,False,4,True,Returning,7,West
14,15,41,Male,City,Home Appliances,2022-01-15,288.1944539196265,Debit Card,9,0.27320353710606604,False,3,False,New,6,East
15,16,20,Male,City,Electronics,2022-01-16,805.4479158639158,Credit Card,7,0.1248720896146776,False,2,True,New,3,East
16,17,39,Female,Rural,Home Appliances,2022-01-17,929.9357730955354,Debit Card,7,0.17163774453222413,False,2,False,Returning,4,West
17,18,19,Male,Suburb,Clothing,2022-01-18,411.05166758229075,Credit Card,2,0.42602420790234646,False,1,False,New,5,West
18,19,41,Male,Rural,Clothing,2022-01-19,907.0498921111721,Credit Card,9,0.27960906588422907,False,1,False,New,2,North
19,20,61,Male,Suburb,Home Appliances,2022-01-20,328.2807442354031,Debit Card,9,0.25737109687838994,False,1,False,Returning,1,East
20,21,47,Female,Suburb,Electronics,2022-01-21,481.6726164803537,Cash,6,0.04978985677001446,False,2,False,New,6,North
21,22,55,Female,Rural,Clothing,2022-01-22,233.7687078378397,Credit Card,3,0.00801407822756156,True,3,False,Returning,3,East
22,23,19,Female,Rural,Electronics,2022-01-23,644.0712817540856,Cash,1,0.48184259434352456,True,2,False,New,2,East
23,24,38,Female,Rural,Clothing,2022-01-24,979.1913040230609,Debit Card,4,0.18849308364342082,False,2,False,Returning,1,North
24,25,50,Female,City,Home Appliances,2022-01-25,607.4581650829449,Cash,3,0.30160653104975216,False,2,False,Returning,6,East
25,26,29,Male,Suburb,Home Appliances,2022-01-26,364.2359432724134,Cash,1,0.039857536593642495,False,2,False,Returning,4,East
26,27,39,Female,City,Home Appliances,2022-01-27,651.3392715306231,Cash,3,0.3415571428615233,False,3,True,New,6,North
27,28,61,Male,City,Clothing,2022-01-28,131.69147168073368,Cash,4,0.46628335435298046,False,1,False,Returning,4,South
28,29,42,Male,Rural,Electronics,2022-01-29,889.7724894627446,Cash,8,0.28783262649870983,False,5,False,Returning,7,North
29,30,44,Female,City,Electronics,2022-01-30,508.053111272038,Credit Card,9,0.06305766118770528,False,1,True,Returning,1,East
30,31,59,Female,Rural,Electronics,2022-01-31,454.8562446192456,Credit Card,3,0.29086076373673836,False,1,False,Returning,6,West
31,32,45,Male,Suburb,Clothing,2022-02-01,590.006140568984,Credit Card,6,0.3831736065523262,False,5,False,Returning,3,South
32,33,33,Male,Rural,Clothing,2022-02-02,628.5360241615084,Debit Card,5,0.20320826828700933,False,2,False,New,6,West
33,34,32,Male,City,Clothing,2022-02-03,81.0580481642479,Cash,6,0.4399188739707339,False,3,True,Returning,1,South
34,35,64,Female,City,Clothing,2022-02-04,685.7910490111684,Credit Card,4,0.32434147667868224,False,3,False,Returning,2,West
35,36,61,Female,Rural,Clothing,2022-02-05,249.5123635123743,Debit Card,6,0.44962445914460125,False,1,True,New,2,South
36,37,20,Female,Rural,Electronics,2022-02-06,716.813106181524,Credit Card,7,0.3117526556236686,False,5,True,New,6,North
37,38,54,Female,City,Clothing,2022-02-07,824.3094464403548,Credit Card,9,0.06564398600241211,False,4,False,Returning,6,South
38,39,24,Female,Suburb,Clothing,2022-02-08,805.9189224769951,Cash,7,0.15484585555259456,False,2,False,Returning,4,South
39,40,38,Male,Suburb,Electronics,2022-02-09,556.9759577338102,Debit Card,6,0.10089747412622846,False,1,False,New,1,South
40,41,26,Female,Rural,Clothing,2022-02-10,524.9681933876436,Cash,1,0.45441324885843115,True,3,True,New,4,East
41,42,56,Male,Suburb,Electronics,2022-02-11,151.4472017260176,Cash,2,0.38020003364374133,True,5,False,New,3,West
42,43,35,Male,City,Electronics,2022-02-12,777.5926888991042,Credit Card,1,0.338199184455003,False,5,True,Returning,7,North
43,44,21,Male,Rural,Home Appliances,2022-02-13,278.6952866422472,Cash,9,0.15048315981581084,True,1,False,New,2,West
44,45,42,Female,City,Home Appliances,2022-02-14,501.7284685897671,Debit Card,9,0.09202238602510676,False,4,False,Returning,5,West
45,46,31,Female,City,Home Appliances,2022-02-15,291.43135199824155,Cash,7,0.3782255439944559,False,3,False,New,5,North
46,47,26,Female,Suburb,Home Appliances,2022-02-16,142.49007936969622,Cash,2,0.23707897293953983,False,1,True,Returning,1,East
47,48,43,Male,Rural,Clothing,2022-02-17,633.2621199228192,Cash,6,0.11289477607531456,False,4,False,Returning,1,South
48,49,19,Male,Rural,Home Appliances,2022-02-18,63.78871447467479,Credit Card,4,0.30831098908263754,False,5,False,New,5,East
49,50,37,Male,Suburb,Electronics,2022-02-19,751.158781784938,Debit Card,1,0.020166926069225988,False,2,True,New,1,East
50,51,45,Male,City,Clothing,2022-02-20,324.4109273085055,Credit Card,1,0.16308512706412676,False,3,True,Returning,2,South
